code,name,trades,wins,win_rate,annualized
000421,南京公用,9,3,33.33,-4.63
000422,湖北宜化,10,4,40.00,14.82
000423,东阿阿胶,20,8,40.00,-2.54
000425,徐工机械,17,6,35.29,-2.69
000426,兴业银锡,20,7,35.00,-0.87
000428,华天酒店,17,6,35.29,-14.00
000429,粤高速Ａ,18,5,27.78,-0.89
000430,ST张家界,18,5,27.78,-10.32
000488,ST晨鸣,6,2,33.33,12.57
000498,山东路桥,19,5,26.32,-22.46
000501,武商集团,9,4,44.44,11.69
000503,国新健康,9,4,44.44,-7.34
000504,*ST生物,9,2,22.22,-12.62
000505,京粮控股,11,2,18.18,-2.12
000506,中润资源,15,8,53.33,13.31
000507,珠海港,7,1,14.29,-11.31
000509,华塑控股,13,4,30.77,-1.98
000510,新金路,14,4,28.57,-8.40
000513,丽珠集团,16,6,37.50,4.34
000514,渝 开 发,10,1,10.00,-9.14
000516,国际医学,8,4,50.00,11.79
000517,荣安地产,15,0,0.00,-27.20
000518,*ST四环,4,2,50.00,32.69
000519,中兵红箭,17,7,41.18,12.16
000520,凤凰航运,3,1,33.33,0.21
000521,长虹美菱,20,5,25.00,-0.77
000523,红棉股份,7,2,28.57,-5.10
000524,岭南控股,17,3,17.65,-14.89
000525,红太阳,5,4,80.00,42.90
000526,学大教育,11,3,27.27,-3.46
000528,柳    工,13,4,30.77,-1.70
000529,广弘控股,13,4,30.77,-9.99
000530,冰山冷热,7,3,42.86,15.26
000531,穗恒运Ａ,10,2,20.00,-6.86
000532,华金资本,20,4,20.00,-16.95
000533,顺钠股份,22,9,40.91,-5.20
000534,万泽股份,14,7,50.00,2.97
000536,华映科技,9,0,0.00,-13.31
000537,中绿电,10,3,30.00,0.62
000538,云南白药,10,3,30.00,-1.10
000539,粤电力Ａ,14,3,21.43,-12.60
000541,佛山照明,6,3,50.00,-0.15
000543,皖能电力,12,4,33.33,4.01
000544,中原环保,15,7,46.67,1.38
000545,金浦钛业,12,2,16.67,-11.73
000546,金圆股份,7,1,14.29,-13.42
000547,航天发展,6,2,33.33,-0.90
000548,湖南投资,11,6,54.55,1.48
000550,江铃汽车,13,2,15.38,-25.26
000551,创元科技,25,7,28.00,-10.70
000552,甘肃能化,12,6,50.00,-5.17
000553,安道麦A,3,0,0.00,-12.73
000554,泰山石油,19,7,36.84,-12.51
000555,神州信息,7,3,42.86,1.28
000557,西部创业,22,7,31.82,-7.14
000558,天府文旅,10,4,40.00,-5.35
000559,万向钱潮,10,3,30.00,-6.04
000560,我爱我家,4,1,25.00,-6.15
000561,烽火电子,11,5,45.45,4.93
