stock_code,stock_name,train_annualized,test_annualized,total_return_pct,trades,win_rate,buy_hold_return_pct,date_start,date_end,timeframe,fast,slow,signal,buy_mode,sell_mode,trailing_stop,take_profit,cooldown
002187,广百股份,-14.3071,-10.3608,-48.2378,3,0,-21.1864,2019-07-12,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600641,万业企业,1.01372,-10.3699,-46.004,3,33.3333,2.09993,2019-12-05,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
601568,北元集团,-19.7768,-10.4175,-27.0903,1,0,-30.6836,2022-09-07,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600998,九州通,-6.05251,-10.4199,-48.2562,3,0,-55.7851,2019-07-24,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002892,科力尔,-2.38006,-10.4484,-40.7974,3,33.3333,-38.7124,2020-10-21,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
000035,中国天楹,-22.5431,-10.4601,-44.3413,4,0,-9.54357,2020-03-26,2025-07-18,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
603113,金能科技,-6.76183,-10.4647,-42.036,2,0,-44.5211,2020-08-14,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
000863,三湘印象,-22.9117,-10.4697,-48.4437,3,0,-28.0876,2019-07-23,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002076,*ST星光,-27.2797,-10.4787,-45.222,3,0,-30.2239,2020-02-10,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002817,黄山胶囊,-13.7759,-10.4858,-44.1218,1,0,-63.0445,2020-04-17,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002935,天奥电子,-26.0984,-10.5062,-36.7441,3,0,-21.8334,2021-06-04,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
601515,东峰集团,-17.8521,-10.5294,-48.8368,2,0,-51.3241,2019-07-11,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002399,海普瑞,-16.2777,-10.5381,-46.588,2,0,-18.6101,2019-12-04,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002544,普天科技,-20.494,-10.5423,-46.6348,4,25,85.6322,2019-12-02,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
603030,全筑股份,-20.1933,-10.5479,-48.6973,3,0,-54.9053,2019-07-24,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
000089,深圳机场,-0.401174,-10.5535,-48.7948,2,0,-22.5275,2019-07-16,2025-07-18,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
000639,西王食品,-20.9893,-10.629,-47.9286,2,0,-35.7977,2019-09-30,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002239,奥特佳,-12.5513,-10.6659,-44.8802,2,0,-25.6927,2020-04-07,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600903,贵州燃气,-15.5101,-10.693,-40.7783,1,0,-44.0448,2020-12-04,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002572,索菲亚,-9.5171,-10.7066,-49.2558,2,0,-18.9881,2019-07-23,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002211,ST宏达,2.08362,-10.7074,-47.6928,5,40,-54.9923,2019-11-01,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600712,南宁百货,-2.82403,-10.7166,-49.3839,3,33.3333,29.9163,2019-07-17,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
000599,青岛双星,-16.806,-10.7289,-49.3157,4,0,17.5644,2019-07-24,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002299,圣农发展,10.4083,-10.7466,-48.7737,4,25,-41.6849,2019-09-02,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
603088,宁波精达,-40.6883,-10.7585,-49.4163,5,20,-4.32489,2019-07-24,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
000627,天茂集团,-8.12056,-10.7795,-49.8489,1,0,-75.1497,2019-07-01,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002449,国星光电,-6.8128,-10.8456,-49.8217,3,0,-24.6795,2019-07-17,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002955,鸿合科技,-42.0437,-10.8505,-34.7354,4,25,28.4319,2021-11-04,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600990,四创电子,-14.3867,-10.8585,-47.8702,5,0,-33.6797,2019-11-21,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
603043,广州酒家,15.6569,-10.888,-42.9089,3,0,-60.1462,2020-09-10,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002681,奋达科技,-40.1324,-10.9075,-48.9446,4,25,37.4486,2019-09-25,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002168,*ST惠程,-11.5286,-10.9101,-44.7705,3,33.3333,-48.6563,2020-05-29,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600167,联美控股,-15.9163,-10.933,-48.6893,2,0,-48.2112,2019-10-16,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002524,光正眼科,8.25241,-10.9522,-48.0976,2,0,-57.8667,2019-11-26,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600107,ST尔雅,-21.5267,-10.9627,-49.867,3,0,-28.3142,2019-08-09,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002848,*ST高斯,-10.1403,-10.9986,-44.7001,3,0,-37.0279,2020-06-19,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002793,罗欣药业,-28.7116,-11.015,-47.6227,2,0,-61.0542,2020-01-02,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002831,裕同科技,-21.7554,-11.0214,-45.1944,3,0,5.91304,2020-05-25,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002760,凤形股份,-19.5338,-11.0226,-50.1311,4,25,10.18,2019-08-05,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002735,王子新材,-21.1778,-11.0266,-47.3581,2,0,-13.1482,2020-01-20,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600684,珠江股份,-19.5808,-11.1335,-50.7873,5,20,2.45098,2019-07-17,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002806,华锋股份,-37.7267,-11.136,-44.6519,4,25,-2.07834,2020-07-16,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
603161,科华控股,1.7781,-11.1375,-41.4732,3,33.3333,-29.9504,2021-01-04,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002712,思美传媒,-38.6152,-11.1412,-49.2619,4,25,-16.3324,2019-10-23,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002682,龙洲股份,-28.2436,-11.2182,-49.8907,3,0,8.39002,2019-09-30,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600578,京能电力,-8.54984,-11.2193,-50.0574,7,14.2857,44.6602,2019-09-20,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002982,湘佳股份,-35.5899,-11.2588,-31.2329,3,0,-57.2283,2022-06-01,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
